year,n_aldeias,n_within_5km,pct_within_5km
2003,1050,14,1.3333333333333333
2004,1050,14,1.3333333333333333
2005,1050,14,1.3333333333333333
2006,1050,17,1.619047619047619
2007,1050,18,1.7142857142857142
2008,1050,19,1.8095238095238095
2009,1050,19,1.8095238095238095
2010,1050,16,1.5238095238095237
2011,1050,22,2.0952380952380953
2012,1050,22,2.0952380952380953
2013,1050,27,2.5714285714285716
2014,1050,27,2.5714285714285716
2015,1050,27,2.5714285714285716
2016,1050,29,2.761904761904762
2017,1050,35,3.3333333333333335
2018,1050,39,3.7142857142857144
2019,1050,48,4.571428571428571
2020,1050,59,5.619047619047619
2021,1050,72,6.857142857142857
2022,1050,102,9.714285714285714
2023,1050,103,9.80952380952381
2024,1050,103,9.80952380952381
