level,quantile,n_candidates,n_selected,instruments
mu,q00,602,9,pp3cc_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp3_gamma_mlp_2yrgp pp3_gamma_pgc_2yrgp pp3cd_2yrgp p_zi_2yrgp s_datjb_2yrgp
mu,q05,528,9,pp3cc_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp3_gamma_mlp_2yrgp pp3_gamma_pgc_2yrgp pp3cd_2yrgp p_zi_2yrgp s_datjb_2yrgp
mu,q10,528,9,pp3cc_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp3_gamma_mlp_2yrgp pp3_gamma_pgc_2yrgp pp3cd_2yrgp p_zi_2yrgp s_datjb_2yrgp
mu,q15,511,4,pp3cc_2yrgp pp3_delta_inc_2yrgp pp3_delta_inj_2yrgp pp3_gamma_mlp_2yrgp
mu,q20,481,3,pp3cc_2yrgp pp3_delta_inc_2yrgp pp3_gamma_mlp_2yrgp
mu,q25,451,3,pp3cc_2yrgp pp3_delta_inc_2yrgp pp3_gamma_mlp_2yrgp
mu,q30,421,3,d2ml_2yrgp pp3cc_2yrgp mp3_delta_cs_2yrgp
mu,q35,391,3,d2ml_2yrgp pp3cc_2yrgp mp3_delta_cs_2yrgp
mu,q40,361,3,d2ml_2yrgp pp3cc_2yrgp mp3_delta_cs_2yrgp
mu,q45,331,3,d2ml_2yrgp pp3cc_2yrgp mp3_delta_cs_2yrgp
mu,q50,301,5,pp3cc_2yrgp pp3_gamma_pgc_2yrgp pp3cd_2yrgp p_zi_2yrgp s_datjb_2yrgp
mu,q55,271,4,pp3cc_2yrgp pp3_gamma_pgc_2yrgp pp3cd_2yrgp p_zi_2yrgp
mu,q60,241,3,d2ml_2yrgp pp3_alfa_sa_2yrgp pp3cc_2yrgp
mu,dropzeros,528,9,pp3cc_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp3_gamma_mlp_2yrgp pp3_gamma_pgc_2yrgp pp3cd_2yrgp p_zi_2yrgp s_datjb_2yrgp
dsei,q00,546,9,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp4_gamma_po_2yrgp
dsei,q05,433,9,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp4_gamma_po_2yrgp
dsei,q10,433,9,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp4_gamma_po_2yrgp
dsei,q15,433,9,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp4_gamma_po_2yrgp
dsei,q20,433,9,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp4_gamma_po_2yrgp
dsei,q25,409,8,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp3_delta_inj_2yrgp pp4_gamma_po_2yrgp
dsei,q30,382,7,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp4_gamma_po_2yrgp
dsei,q35,355,7,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp4_gamma_po_2yrgp
dsei,q40,327,6,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp4_gamma_po_2yrgp
dsei,q45,300,6,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp4_gamma_po_2yrgp
dsei,q50,273,4,mp3_delta_cs_2yrgp pp3_delta_in_2yrgp c2i_2yrgp pp4_gamma_po_2yrgp
dsei,q55,246,3,mp3_delta_cs_2yrgp pp3_delta_in_2yrgp c2i_2yrgp
dsei,q60,218,3,pp3cc_2yrgp c2i_2yrgp pp3np_2yrgp
dsei,dropzeros,433,9,mp3_delta_cs_2yrgp pp3_alfa_bj_2yrgp pp3_delta_in_2yrgp pp3_gamma_mlp_2yrgp c2i_2yrgp pp3_delta_inc_2yrgp pp3_delta_inij_2yrgp pp3_delta_inj_2yrgp pp4_gamma_po_2yrgp
